"Column","Type","Extra","Comment"
fields__customfield_14252__key,varchar,"",""
fields__customfield_14252__name,varchar,"",""
fields__customfield_14252__self,varchar,"",""
fields__customfield_14252__timezone,varchar,"",""
fields__customfield_14253,varchar,"",""
fields__customfield_14255,varchar,"",""
fields__customfield_14264,varchar,"",""
fields__customfield_14265,varchar,"",""
fields__customfield_14272__errormessage,varchar,"",""
fields__customfield_14272__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_14272__i18nerrormessage__parameters,varchar,"",""
fields__customfield_14276,varchar,"",""
fields__customfield_14353,varchar,"",""
fields__customfield_14354,varchar,"",""
fields__customfield_14356,varchar,"",""
fields__customfield_14654__disabled,varchar,"",""
fields__customfield_14654__id,varchar,"",""
fields__customfield_14654__self,varchar,"",""
fields__customfield_14654__value,varchar,"",""
fields__customfield_14655,varchar,"",""
fields__customfield_14656,varchar,"",""
fields__customfield_14657,varchar,"",""
fields__customfield_14853,varchar,"",""
fields__customfield_15450,varchar,"",""
fields__customfield_15450__disabled,varchar,"",""
fields__customfield_15450__id,varchar,"",""
fields__customfield_15450__self,varchar,"",""
fields__customfield_15450__value,varchar,"",""
fields__customfield_15751,varchar,"",""
fields__customfield_16150,varchar,"",""
fields__customfield_16151,varchar,"",""
fields__customfield_16257,varchar,"",""
fields__customfield_16260,varchar,"",""
fields__customfield_16261,varchar,"",""
fields__customfield_16350,varchar,"",""
fields__customfield_16455,varchar,"",""
fields__customfield_16468,varchar,"",""
fields__customfield_16551,varchar,"",""
fields__customfield_16573,varchar,"",""
fields__customfield_16651,varchar,"",""
fields__customfield_16851,varchar,"",""
fields__customfield_16852,varchar,"",""
fields__customfield_16853,varchar,"",""
fields__customfield_16951,varchar,"",""
fields__customfield_16952,varchar,"",""
fields__customfield_17462,varchar,"",""
fields__customfield_17486,varchar,"",""
fields__customfield_17487,varchar,"",""
fields__customfield_17651,varchar,"",""
fields__customfield_17957,varchar,"",""
fields__customfield_18251,varchar,"",""
fields__customfield_18265,varchar,"",""
fields__customfield_18358__active,varchar,"",""
fields__customfield_18358__avatarurls__16x16,varchar,"",""
fields__customfield_18358__avatarurls__24x24,varchar,"",""
fields__customfield_18358__avatarurls__32x32,varchar,"",""
fields__customfield_18358__avatarurls__48x48,varchar,"",""
fields__customfield_18358__displayname,varchar,"",""
fields__customfield_18358__emailaddress,varchar,"",""
fields__customfield_18358__key,varchar,"",""
fields__customfield_18358__name,varchar,"",""
fields__customfield_18358__self,varchar,"",""
fields__customfield_18358__timezone,varchar,"",""
fields__customfield_18360__active,varchar,"",""
fields__customfield_18360__avatarurls__16x16,varchar,"",""
fields__customfield_18360__avatarurls__24x24,varchar,"",""
fields__customfield_18360__avatarurls__32x32,varchar,"",""
fields__customfield_18360__avatarurls__48x48,varchar,"",""
fields__customfield_18360__displayname,varchar,"",""
fields__customfield_18360__emailaddress,varchar,"",""
fields__customfield_18360__key,varchar,"",""
fields__customfield_18360__name,varchar,"",""
fields__customfield_18360__self,varchar,"",""
fields__customfield_18360__timezone,varchar,"",""
fields__customfield_18361__active,varchar,"",""
fields__customfield_18361__avatarurls__16x16,varchar,"",""
fields__customfield_18361__avatarurls__24x24,varchar,"",""
fields__customfield_18361__avatarurls__32x32,varchar,"",""
fields__customfield_18361__avatarurls__48x48,varchar,"",""
fields__customfield_18361__displayname,varchar,"",""
fields__customfield_18361__emailaddress,varchar,"",""
fields__customfield_18361__key,varchar,"",""
fields__customfield_18361__name,varchar,"",""
fields__customfield_18361__self,varchar,"",""
fields__customfield_18361__timezone,varchar,"",""
fields__customfield_18750__disabled,varchar,"",""
fields__customfield_18750__id,varchar,"",""
fields__customfield_18750__self,varchar,"",""
fields__customfield_18750__value,varchar,"",""
fields__customfield_19155,varchar,"",""
fields__customfield_19156,varchar,"",""
fields__customfield_19156__disabled,varchar,"",""
fields__customfield_19156__id,varchar,"",""
fields__customfield_19156__self,varchar,"",""
fields__customfield_19156__value,varchar,"",""
fields__customfield_19251,varchar,"",""
fields__customfield_19451,varchar,"",""
fields__customfield_19452,varchar,"",""
fields__customfield_19452__disabled,varchar,"",""
fields__customfield_19452__id,varchar,"",""
fields__customfield_19452__self,varchar,"",""
fields__customfield_19452__value,varchar,"",""
fields__customfield_19458,varchar,"",""
fields__customfield_19464,varchar,"",""
fields__customfield_19465,varchar,"",""
fields__customfield_19466,varchar,"",""
fields__customfield_19474,varchar,"",""
fields__customfield_19475,varchar,"",""
fields__customfield_19479,varchar,"",""
fields__customfield_20076,varchar,"",""
fields__customfield_20384,varchar,"",""
fields__customfield_20385,varchar,"",""
fields__customfield_20386,varchar,"",""
fields__customfield_20391,varchar,"",""
fields__customfield_20392,varchar,"",""
fields__customfield_20455,varchar,"",""
fields__customfield_20463,varchar,"",""
fields__customfield_20650,varchar,"",""
fields__customfield_20750,varchar,"",""
fields__customfield_20751,varchar,"",""
fields__customfield_20752,varchar,"",""
fields__customfield_20753,varchar,"",""
fields__customfield_20754,varchar,"",""
fields__customfield_20755,varchar,"",""
fields__customfield_20853,varchar,"",""
fields__customfield_20853__disabled,varchar,"",""
fields__customfield_20853__id,varchar,"",""
fields__customfield_20853__self,varchar,"",""
fields__customfield_20853__value,varchar,"",""
fields__customfield_20962,varchar,"",""
fields__customfield_20969,varchar,"",""
fields__customfield_10656__disabled,varchar,"",""
fields__customfield_10656__id,varchar,"",""
fields__customfield_10656__self,varchar,"",""
fields__customfield_10656__value,varchar,"",""
fields__customfield_11451__errormessage,varchar,"",""
fields__customfield_11451__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_11451__i18nerrormessage__parameters,varchar,"",""
fields__customfield_11452__errormessage,varchar,"",""
fields__customfield_11452__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_11452__i18nerrormessage__parameters,varchar,"",""
fields__customfield_11453__errormessage,varchar,"",""
fields__customfield_11453__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_11453__i18nerrormessage__parameters,varchar,"",""
fields__customfield_11750__active,varchar,"",""
fields__customfield_11750__avatarurls__16x16,varchar,"",""
fields__customfield_11750__avatarurls__24x24,varchar,"",""
fields__customfield_11750__avatarurls__32x32,varchar,"",""
fields__customfield_11750__avatarurls__48x48,varchar,"",""
fields__customfield_11750__displayname,varchar,"",""
fields__customfield_11750__emailaddress,varchar,"",""
fields__customfield_11750__key,varchar,"",""
fields__customfield_11750__name,varchar,"",""
fields__customfield_11750__self,varchar,"",""
fields__customfield_11750__timezone,varchar,"",""
fields__customfield_11862,varchar,"",""
fields__customfield_11862__active,varchar,"",""
fields__customfield_11862__avatarurls__16x16,varchar,"",""
fields__customfield_11862__avatarurls__24x24,varchar,"",""
fields__customfield_11862__avatarurls__32x32,varchar,"",""
fields__customfield_11862__avatarurls__48x48,varchar,"",""
fields__customfield_11862__displayname,varchar,"",""
fields__customfield_11862__emailaddress,varchar,"",""
fields__customfield_11862__key,varchar,"",""
fields__customfield_11862__name,varchar,"",""
fields__customfield_11862__self,varchar,"",""
